mouse,sex,treatment,microb,total_worms,day_num,mass,sac_day
20_RP,M,control,hi,,14,26.4,41
21_LP,F,control,hi,,14,22,41
21_RP,F,control,hi,,14,20.9,41
3_RLP,F,worm,lo,,41,27.75,41
3_RP,F,worm,lo,,41,27.98,41
4_LP20,F,worm,lo,,41,27.05,41
4_LP30,F,worm,lo,,41,22.4,41
4_RP2,F,worm,lo,,41,27.14,41
4_RP3,F,worm,lo,,41,21.85,41
5_LP20,F,worm,lo,,41,24.21,41
5_LP30,F,worm,lo,,41,22.3,41
5_RP3,F,worm,lo,,41,23.8,41
6_LP10,M,worm,lo,,41,29.21,41
6_RP1,M,worm,lo,,41,30,41
6_RP2,M,worm,lo,,41,27.73,41
7_RLP,M,worm,lo,,41,31.4,41
7_RP,M,worm,lo,,41,33.46,41
8_LP,M,worm,lo,,41,33.98,41
8_RP,M,worm,lo,,41,32.45,41
9_LLP,M,worm,lo,,41,28.2,41
9_LP,M,worm,lo,,41,27.3,41
9_RP,M,worm,lo,,41,27.49,41
9_RRP,M,worm,lo,,41,27.39,41
10_LP,F,worm,lo,,41,21.57,41
10_RLP,F,worm,lo,,41,25.26,41
10_RRP,F,worm,lo,,41,23.36,41
11_RLP,F,control,lo,,41,26.21,41
11_RRP,F,control,lo,,41,26.21,41
12_LP,M,control,lo,,41,32.85,41
12_RP,M,control,lo,,41,31.38,41
13_RP1,F,control,lo,,41,25.43,41
13_RP2,F,control,lo,,41,26.98,41
14_RLP,F,worm,hi,,41,20.32,41
14_RP,F,worm,hi,,41,21.7,41
15_RLP,F,worm,hi,,41,19.63,41
15_RRP,F,worm,hi,,41,21.28,41
17_LLP,F,worm,hi,,41,20.85,41
17_RLP,F,worm,hi,,41,21.43,41
18_LP,F,worm,hi,,41,20.32,41
18_RLP,F,worm,hi,,41,21.01,41
18_RRP,F,worm,hi,,41,21.07,41
19_LP,M,worm,hi,,41,23.16,41
19_RP,M,worm,hi,,41,25.3,41
20_LP,M,control,hi,,41,25.49,41
20_RP,M,control,hi,,41,25.04,41
21_LP,F,control,hi,,41,21.34,41
21_RP,F,control,hi,,41,18.32,41
